timestamp,热水回水温度,热水出水温度,冷冻水回水温度,冷冻水出水温度
2018-01-01T00:03:19Z,73.11,89.96,18.96,16.81
2018-01-01T00:08:19Z,72.87,89.35,18.96,16.81
2018-01-01T00:13:19Z,72.94,89.39,18.95,16.81
2018-01-01T00:18:19Z,73.3,90.03,18.94,16.8
2018-01-01T00:23:19Z,73.53,90.71,18.97,16.8
2018-01-01T00:28:19Z,73.77,91.61,19.0,16.79
2018-01-01T00:33:19Z,73.97,90.12,19.03,16.8
2018-01-01T00:38:19Z,73.87,89.91,19.03,16.8
2018-01-01T00:43:19Z,73.79,90.93,19.02,16.8
2018-01-01T00:48:19Z,74.16,91.6,19.03,16.79
2018-01-01T00:53:19Z,74.14,89.89,19.02,16.79
2018-01-01T00:58:19Z,73.62,90.2,19.02,16.79
2018-01-01T01:03:19Z,74.06,91.45,19.02,16.79
2018-01-01T01:08:19Z,73.97,90.46,19.02,16.78
2018-01-01T01:13:19Z,74.41,90.07,19.01,16.78
2018-01-01T01:18:19Z,74.6,91.56,19.01,16.78
2018-01-01T01:23:19Z,74.74,90.38,19.0,16.77
2018-01-01T01:28:19Z,74.7,90.78,19.01,16.77
2018-01-01T01:33:19Z,74.83,91.56,19.0,16.77
2018-01-01T01:38:19Z,74.65,90.25,18.99,16.77
2018-01-01T01:43:19Z,74.78,91.64,19.0,16.77
2018-01-01T01:48:19Z,75.05,90.06,18.99,16.77
2018-01-01T01:53:19Z,75.19,91.4,18.99,16.76
2018-01-01T01:58:19Z,74.9,90.46,18.99,16.76
2018-01-01T02:03:19Z,74.99,90.93,18.99,16.76
2018-01-01T02:08:19Z,75.3,91.42,18.99,16.76
2018-01-01T02:13:19Z,75.23,90.9,18.99,16.76
2018-01-01T02:18:19Z,74.97,91.57,18.98,16.76
2018-01-01T02:23:19Z,74.67,90.39,18.98,16.75
2018-01-01T02:28:19Z,74.58,91.68,18.98,16.75
2018-01-01T02:33:19Z,74.17,89.96,18.98,16.75
2018-01-01T02:38:19Z,74.26,90.48,18.97,16.75
2018-01-01T02:43:19Z,73.91,91.54,18.97,16.75
2018-01-01T02:48:19Z,73.92,90.47,18.97,16.74
2018-01-01T02:53:19Z,73.94,89.9,18.97,16.74
2018-01-01T02:58:19Z,73.74,90.87,18.97,16.74
2018-01-01T03:03:19Z,74.22,91.62,18.96,16.74
2018-01-01T03:08:19Z,74.35,89.84,18.97,16.73
2018-01-01T03:13:19Z,74.02,90.7,18.96,16.74
2018-01-01T03:18:19Z,72.99,91.26,19.11,16.73
2018-01-01T03:23:19Z,72.51,91.2,19.11,16.73
2018-01-01T03:28:19Z,72.17,91.08,19.15,16.73
2018-01-01T03:33:19Z,71.45,90.33,19.14,16.73
2018-01-01T03:38:19Z,71.28,89.14,19.14,16.72
2018-01-01T03:43:19Z,71.33,89.52,19.14,16.72
2018-01-01T03:48:19Z,71.23,90.71,19.13,16.72
2018-01-01T03:53:19Z,71.18,89.82,19.13,16.72
2018-01-01T03:58:19Z,71.24,88.59,19.13,16.72
2018-01-01T04:03:19Z,70.99,90.77,19.13,16.71
2018-01-01T04:08:19Z,70.81,89.48,19.12,16.71
2018-01-01T04:13:19Z,70.92,89.18,19.12,16.71
2018-01-01T04:18:19Z,70.86,90.36,19.12,16.71
2018-01-01T04:23:19Z,71.04,88.92,19.11,16.71
2018-01-01T04:28:19Z,71.01,89.83,19.11,16.7
2018-01-01T04:33:19Z,71.1,89.28,19.11,16.7
2018-01-01T04:38:19Z,71.25,89.92,19.11,16.7
2018-01-01T04:43:19Z,71.22,89.79,19.11,16.7
2018-01-01T04:48:19Z,71.25,89.18,19.1,16.69
2018-01-01T04:53:19Z,71.41,89.49,19.1,16.69
2018-01-01T04:58:19Z,71.52,90.66,19.1,16.69
2018-01-01T05:03:19Z,71.62,90.08,19.1,16.69
2018-01-01T05:08:19Z,71.72,89.38,19.09,16.68
2018-01-01T05:13:19Z,71.92,88.81,19.18,16.68
2018-01-01T05:18:19Z,71.93,88.98,19.18,16.68
2018-01-01T05:23:19Z,71.9,90.28,19.25,16.67
2018-01-01T05:28:19Z,71.92,90.93,19.25,16.67
2018-01-01T05:33:19Z,72.22,90.73,19.24,16.67
2018-01-01T05:38:19Z,73.22,91.27,19.27,16.66
2018-01-01T05:43:19Z,72.87,90.91,19.27,16.66
2018-01-01T05:48:19Z,71.8,90.95,19.27,16.66
2018-01-01T05:53:19Z,72.49,91.01,19.89,16.65
2018-01-01T05:58:19Z,72.6,91.19,19.85,16.65
2018-01-01T06:03:19Z,72.18,91.1,19.83,16.65
2018-01-01T06:08:19Z,72.2,90.63,19.82,16.65
2018-01-01T06:13:19Z,72.8,90.88,19.81,16.65
2018-01-01T06:18:19Z,72.86,91.14,19.77,16.64
2018-01-01T06:23:19Z,72.34,91.03,19.76,16.64
2018-01-01T06:28:19Z,72.4,90.87,19.75,16.64
2018-01-01T06:33:19Z,72.49,91.05,19.79,16.63
2018-01-01T06:38:19Z,71.8,90.52,19.77,16.63
2018-01-01T06:43:19Z,70.96,89.16,19.76,16.63
2018-01-01T06:48:19Z,70.04,90.64,19.75,16.63
2018-01-01T06:53:19Z,69.04,90.46,19.74,16.63
2018-01-01T06:58:19Z,69.17,90.38,19.73,16.62
2018-01-01T07:03:19Z,68.78,90.13,19.73,16.61
2018-01-01T07:08:19Z,68.72,89.66,19.72,16.61
2018-01-01T07:13:19Z,65.77,88.76,19.72,16.61
2018-01-01T07:18:19Z,66.1,88.85,19.71,16.61
2018-01-01T07:23:19Z,69.46,90.04,19.69,16.61
2018-01-01T07:28:19Z,71.46,89.21,19.7,16.6
2018-01-01T07:33:19Z,70.58,88.61,19.69,16.6
2018-01-01T07:38:19Z,70.02,89.85,19.69,16.59
2018-01-01T07:43:19Z,68.0,90.1,19.68,16.59
2018-01-01T07:48:19Z,65.59,88.94,19.68,16.59
2018-01-01T07:53:19Z,65.81,88.44,19.68,16.59
2018-01-01T07:58:19Z,67.4,89.27,19.68,16.59
2018-01-01T08:03:19Z,67.71,89.89,19.68,16.58
2018-01-01T08:08:19Z,67.67,90.09,19.67,16.58
2018-01-01T08:13:19Z,67.43,90.1,19.67,16.58
2018-01-01T08:18:19Z,67.55,90.27,19.67,16.58
2018-01-01T08:23:20Z,67.33,89.95,19.67,16.58
2018-01-01T08:28:19Z,68.63,90.47,19.66,16.57
2018-01-01T08:33:19Z,69.64,89.28,19.66,16.57
2018-01-01T08:38:19Z,70.32,89.39,19.66,16.57
2018-01-01T08:43:19Z,70.31,88.69,19.65,16.57
2018-01-01T08:48:19Z,70.21,89.31,19.65,16.57
2018-01-01T08:53:19Z,70.33,90.67,19.65,16.57
2018-01-01T08:58:20Z,69.31,88.4,19.65,16.57
2018-01-01T09:03:19Z,68.61,88.71,19.64,16.56
2018-01-01T09:08:19Z,68.61,87.98,19.64,16.56
2018-01-01T09:13:19Z,70.11,89.21,19.64,16.56
2018-01-01T09:18:19Z,67.58,90.26,19.63,16.55
2018-01-01T09:23:19Z,64.29,88.22,19.63,16.56
2018-01-01T09:28:19Z,63.5,87.12,19.63,16.55
2018-01-01T09:33:19Z,66.34,87.97,19.63,16.56
2018-01-01T09:38:20Z,68.16,89.93,19.62,16.56
2018-01-01T09:43:19Z,69.54,90.27,19.62,16.55
2018-01-01T09:48:19Z,69.99,88.27,19.62,16.55
2018-01-01T09:53:19Z,69.28,89.33,19.62,16.55
2018-01-01T09:58:19Z,68.65,89.5,19.62,16.56
2018-01-01T10:03:19Z,68.51,88.03,19.61,16.55
2018-01-01T10:08:19Z,68.48,88.25,19.61,16.55
2018-01-01T10:13:19Z,64.03,88.31,19.59,16.55
2018-01-01T10:18:19Z,63.07,86.78,19.57,16.55
2018-01-01T10:23:19Z,63.0,86.23,19.57,16.55
2018-01-01T10:28:19Z,62.67,86.17,19.47,16.55
2018-01-01T10:33:19Z,62.13,85.43,19.46,16.55
2018-01-01T10:38:19Z,62.56,85.57,19.45,16.54
