timestamp,运行时间,平均速度,油压,冷却剂温度,电池电压,总网有功电能,总有功功率,总无功功率,总视在功率,运行
2018-01-01T00:03:19Z,5418.55,0.0,0.0,500.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:08:19Z,5418.55,0.0,0.0,510.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:13:19Z,5418.55,0.0,0.0,520.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:18:19Z,5418.55,0.0,0.0,520.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:23:19Z,5418.55,0.0,0.0,530.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:28:19Z,5418.55,0.0,0.0,530.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:33:19Z,5418.55,0.0,0.0,540.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:38:19Z,5418.55,0.0,0.0,530.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:43:19Z,5418.55,0.0,0.0,520.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:48:19Z,5418.55,0.0,0.0,520.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:53:19Z,5418.55,0.0,0.0,510.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T00:58:19Z,5418.55,0.0,0.0,500.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:03:19Z,5418.55,0.0,0.0,490.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:08:19Z,5418.55,0.0,0.0,480.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:13:19Z,5418.55,0.0,0.0,470.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:18:19Z,5418.55,0.0,0.0,470.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:23:19Z,5418.55,0.0,0.0,460.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:28:19Z,5418.55,0.0,0.0,460.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:33:19Z,5418.55,0.0,0.0,450.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-01T01:38:19Z,5418.55,0.0,0.0,450.0,273.0,6755197.0,0.0,0.0,0.0,0.0
